Week,Tournament,Champions,Runners-up,Semifinalists,Quarterfinalists,category,prize_money
24 Feb,"Dubai Tennis Championships Dubai, United Arab Emirates ATP 500 Hard – $3,415,700 – 32S/16Q/16D Singles – Doubles","Yuki Bhambri Alexei Popyrin 3–6, 7–6(14–12), [10–8]",Harri Heliövaara Henry Patten,Tallon Griekspoor Quentin Halys,Daniil Medvedev Matteo Berrettini Luca Nardi Marin Čilić,ATP 500,"$3,415,700"
24 Feb,"Mexican Open Acapulco, Mexico ATP 500 Hard – $2,763,440 – 32S/16Q/16D Singles – Doubles","Tomáš Macháč 7–6(8–6), 6–2",Alejandro Davidovich Fokina,Brandon Nakashima Denis Shapovalov,Learner Tien David Goffin Marcos Giron Rodrigo Pacheco Méndez,ATP 500,"$2,763,440"
24 Feb,"Mexican Open Acapulco, Mexico ATP 500 Hard – $2,763,440 – 32S/16Q/16D Singles – Doubles","Christian Harrison Evan King 6–4, 6–0",Sadio Doumbia Fabien Reboul,Brandon Nakashima Denis Shapovalov,Learner Tien David Goffin Marcos Giron Rodrigo Pacheco Méndez,ATP 500,"$2,763,440"
24 Feb,"Chile Open Santiago, Chile ATP 250 Clay (red) – $710,735 – 28S/16Q/16D Singles – Doubles","Laslo Djere 6–4, 3–6, 7–5",Sebastián Báez,Francisco Cerúndolo Camilo Ugo Carabelli,Tomás Martín Etcheverry Jaime Faria Damir Džumhur Federico Coria,ATP 250,"$710,735"
24 Feb,"Chile Open Santiago, Chile ATP 250 Clay (red) – $710,735 – 28S/16Q/16D Singles – Doubles","Nicolás Barrientos Rithvik Choudary Bollipalli 6–3, 6–2",Máximo González Andrés Molteni,Francisco Cerúndolo Camilo Ugo Carabelli,Tomás Martín Etcheverry Jaime Faria Damir Džumhur Federico Coria,ATP 250,"$710,735"
3 Mar 10 Mar,"Indian Wells Open Indian Wells, United States ATP 1000 Hard – $9,693,540 – 96S/48Q/32D Singles – Doubles – Mixed","Jack Draper 6–2, 6–2",Holger Rune,Daniil Medvedev Carlos Alcaraz,Tallon Griekspoor  Arthur Fils  Ben Shelton Francisco Cerúndolo,ATP 1000,"$9,693,540"
3 Mar 10 Mar,"Indian Wells Open Indian Wells, United States ATP 1000 Hard – $9,693,540 – 96S/48Q/32D Singles – Doubles – Mixed","Marcelo Arévalo Mate Pavić 6–3, 6–4",Sebastian Korda Jordan Thompson,Daniil Medvedev Carlos Alcaraz,Tallon Griekspoor  Arthur Fils  Ben Shelton Francisco Cerúndolo,ATP 1000,"$9,693,540"
3 Mar 10 Mar,"Indian Wells Open Indian Wells, United States ATP 1000 Hard – $9,693,540 – 96S/48Q/32D Singles – Doubles – Mixed","Sara Errani Andrea Vavassori 6–7(3–7), 6–3, [10–8]",Bethanie Mattek-Sands Mate Pavić,Daniil Medvedev Carlos Alcaraz,Tallon Griekspoor  Arthur Fils  Ben Shelton Francisco Cerúndolo,ATP 1000,"$9,693,540"
17 Mar 24 Mar,"Miami Open Miami Gardens, United States ATP 1000 Hard – $9,193,540 – 96S/48Q/32D Singles – Doubles","Jakub Menšík 7–6(7–4), 7–6(7–4)",Novak Djokovic,Taylor Fritz Grigor Dimitrov,Arthur Fils Matteo Berrettini Sebastian Korda Francisco Cerúndolo,ATP 1000,"$9,193,540"
17 Mar 24 Mar,"Miami Open Miami Gardens, United States ATP 1000 Hard – $9,193,540 – 96S/48Q/32D Singles – Doubles","Marcelo Arévalo Mate Pavić 7–6(7–3), 6–3",Julian Cash Lloyd Glasspool,Taylor Fritz Grigor Dimitrov,Arthur Fils Matteo Berrettini Sebastian Korda Francisco Cerúndolo,ATP 1000,"$9,193,540"
31 Mar,"U.S. Men's Clay Court Championships Houston, United States ATP 250 Clay (maroon) – $710,735 – 28S/16Q/16D Singles – Doubles","Jenson Brooksby 6–4, 6–2",Frances Tiafoe,Tommy Paul Brandon Nakashima,Colton Smith  Aleksandar Kovacevic  Christopher Eubanks Alex Michelsen,ATP 250,"$710,735"
31 Mar,"U.S. Men's Clay Court Championships Houston, United States ATP 250 Clay (maroon) – $710,735 – 28S/16Q/16D Singles – Doubles","Fernando Romboli John-Patrick Smith 6–1, 6–4",Federico Agustín Gómez Santiago González,Tommy Paul Brandon Nakashima,Colton Smith  Aleksandar Kovacevic  Christopher Eubanks Alex Michelsen,ATP 250,"$710,735"
31 Mar,"Grand Prix Hassan II Marrakesh, Morocco ATP 250 Clay (red) – €622,850 – 28S/16Q/16D Singles – Doubles","Luciano Darderi 7–6(7–3), 7–6(7–4)",Tallon Griekspoor,Kamil Majchrzak  Roberto Carballés Baena,Mattia Bellucci  Alexandre Müller Nuno Borges  Vít Kopřiva,ATP 250,
31 Mar,"Grand Prix Hassan II Marrakesh, Morocco ATP 250 Clay (red) – €622,850 – 28S/16Q/16D Singles – Doubles","Petr Nouza Patrik Rikl 6–3, 6–4",Hugo Nys Édouard Roger-Vasselin,Kamil Majchrzak  Roberto Carballés Baena,Mattia Bellucci  Alexandre Müller Nuno Borges  Vít Kopřiva,ATP 250,
31 Mar,"Romanian Open Bucharest, Romania ATP 250 Clay (red) – €622,850 – 28S/16Q/16D Singles – Doubles","Flavio Cobolli 6–4, 6–4",Sebastián Báez,Márton Fucsovics  Damir Džumhur,Francisco Comesaña  Christopher O'Connell Filip Misolic  Pedro Martínez,ATP 250,
